                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3936,                 1.7141,                 1.0132,                0.80346,                0.63503,                0.73215,                0.45498,                 1.2039,                  1.078,                0.97398,             0.00066429,             0.00066429,             0.00066429
                      2,                 1.3115,                 1.0648,                 1.0074,                0.81961,                0.64691,                0.75403,                 0.4635,                 1.2278,                0.87506,                 1.0038,              0.0013178,              0.0013178,              0.0013178
                      3,                 1.2771,                0.92425,                 1.0127,                0.80432,                 0.6263,                0.71583,                0.45044,                 1.2393,                0.88024,                 1.0056,              0.0019581,              0.0019581,              0.0019581
                      4,                 1.2342,                0.86167,                0.99884,                0.84729,                0.62642,                0.74623,                 0.4614,                 1.1889,                0.81287,                 1.0083,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2166,                0.84318,                 1.0005,                0.83232,                0.65334,                0.77089,                0.49904,                  1.167,                0.74829,                 1.0092,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1793,                0.80845,                0.98522,                0.84246,                0.68554,                0.79637,                0.52889,                 1.0599,                0.68656,                 0.9647,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1651,                0.78792,                0.98296,                0.85749,                0.70644,                0.81782,                0.52904,                 1.0668,                0.66983,                0.96128,               0.001901,               0.001901,               0.001901
                      8,                 1.1554,                0.77043,                0.97412,                0.86173,                0.70497,                0.82058,                0.54308,                 1.0393,                0.67972,                0.94913,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1194,                0.73772,                0.96526,                 0.8674,                0.70913,                0.82238,                0.54695,                 1.0291,                0.64614,                 0.9562,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1158,                0.72756,                0.96876,                0.84104,                0.69311,                0.80884,                 0.5203,                 1.0952,                0.67359,                0.96447,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.108,                0.72531,                0.96611,                0.87509,                0.72273,                0.83448,                0.54166,                 1.0751,                0.63181,                0.95986,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0866,                0.70881,                0.95877,                0.88954,                0.73022,                0.84397,                0.56945,                 1.0059,                0.60475,                0.94046,               0.001802,               0.001802,               0.001802
                     13,                 1.0921,                0.71001,                0.95986,                 0.8735,                0.70358,                0.81992,                0.55409,                 1.0391,                0.61492,                0.96108,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0622,                0.70285,                0.95238,                0.86253,                 0.7488,                0.84472,                0.57934,                0.96236,                 0.6048,                 0.9379,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0611,                0.68607,                0.94855,                0.88209,                0.72879,                0.84044,                0.56684,                0.99105,                0.61193,                0.94058,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.068,                0.67727,                0.94876,                0.88482,                0.72491,                0.84208,                0.55442,                 1.0414,                0.59009,                0.95255,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0601,                0.67705,                0.94683,                0.85752,                 0.7416,                0.84832,                0.57467,                0.96524,                0.59257,                0.93469,               0.001703,               0.001703,               0.001703
                     18,                 1.0507,                 0.6738,                0.94467,                0.86695,                0.74438,                0.84982,                0.56257,                 1.0102,                0.59345,                0.93582,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.042,                0.65414,                0.94153,                0.87513,                0.75082,                 0.8508,                0.59611,                0.94303,                0.57402,                0.92407,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0268,                0.64751,                0.93591,                0.85544,                 0.7736,                0.86533,                0.58609,                0.96319,                0.56939,                0.92687,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0345,                  0.655,                 0.9377,                0.87949,                0.76464,                0.86292,                0.58177,                0.98357,                0.56325,                0.93351,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0095,                0.63711,                0.93533,                  0.883,                0.76492,                0.86225,                0.56946,                0.98839,                0.58413,                0.92571,               0.001604,               0.001604,               0.001604
                     23,                 1.0279,                0.64409,                0.93307,                0.87915,                0.77936,                 0.8725,                0.59933,                0.95532,                0.54292,                0.92687,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0276,                0.64601,                0.94045,                0.87565,                0.76615,                0.86654,                0.58012,                0.96927,                0.54929,                0.92771,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0102,                0.63783,                0.93514,                0.88115,                0.74577,                0.85035,                0.59575,                0.92603,                0.56918,                0.92463,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0116,                0.62018,                0.93223,                0.90133,                0.75826,                0.87503,                0.58553,                0.98294,                0.54502,                0.92869,              0.0015248,              0.0015248,              0.0015248
                     27,                0.99836,                0.61614,                0.92751,                0.88045,                0.75223,                0.85643,                0.58758,                0.96982,                0.55111,                0.92892,               0.001505,               0.001505,               0.001505
                     28,                0.99075,                0.61343,                 0.9282,                0.87486,                0.76853,                0.86578,                0.57605,                0.96203,                0.54191,                0.92251,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0164,                0.62803,                0.92848,                0.88024,                0.76714,                0.85958,                0.59925,                0.93064,                0.54318,                0.92639,              0.0014654,              0.0014654,              0.0014654
                     30,                0.99493,                0.61378,                 0.9271,                0.87129,                0.75964,                0.86388,                0.57428,                 1.0132,                0.55903,                0.92966,              0.0014456,              0.0014456,              0.0014456
                     31,                0.99074,                0.61086,                0.92906,                0.90558,                0.76797,                0.87571,                0.60231,                0.94226,                0.52902,                0.91956,              0.0014258,              0.0014258,              0.0014258
                     32,                0.97334,                0.60408,                0.92437,                 0.8861,                0.77769,                0.87725,                0.61822,                0.89552,                0.51416,                0.91177,               0.001406,               0.001406,               0.001406
                     33,                 0.9867,                0.60434,                0.92826,                0.87668,                0.78728,                0.87649,                0.59669,                0.97197,                0.54006,                0.92555,              0.0013862,              0.0013862,              0.0013862
                     34,                0.99258,                0.60311,                0.92763,                0.87936,                0.78297,                0.88059,                0.61791,                0.89923,                0.51889,                0.91303,              0.0013664,              0.0013664,              0.0013664
                     35,                0.98056,                0.59163,                0.92331,                0.85571,                0.78601,                 0.8726,                0.58757,                0.96107,                0.52863,                0.91648,              0.0013466,              0.0013466,              0.0013466
                     36,                0.97128,                0.59138,                0.91709,                0.89299,                0.78074,                0.87721,                0.61134,                0.92437,                0.51379,                0.91536,              0.0013268,              0.0013268,              0.0013268
                     37,                0.98498,                 0.5974,                0.92379,                0.89277,                 0.7713,                0.87512,                0.62373,                0.87928,                0.51756,                 0.9106,               0.001307,               0.001307,               0.001307
                     38,                0.95219,                0.58066,                0.92021,                0.88702,                0.78102,                 0.8773,                0.62491,                0.88653,                0.50617,                0.91047,              0.0012872,              0.0012872,              0.0012872
                     39,                0.95869,                0.58701,                0.92037,                0.89177,                0.78213,                0.88238,                0.60669,                0.92051,                0.50992,                0.91516,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.9628,                0.58481,                0.92158,                0.89286,                0.78875,                0.88375,                0.61489,                0.91261,                 0.5148,                0.91296,              0.0012476,              0.0012476,              0.0012476
                     41,                0.96664,                0.58069,                0.92281,                0.90407,                0.79184,                0.89109,                0.61736,                0.90757,                0.50163,                0.91371,              0.0012278,              0.0012278,              0.0012278
                     42,                0.94797,                0.57302,                0.91296,                0.88077,                0.78324,                0.87449,                0.59198,                0.96661,                0.51205,                0.92984,               0.001208,               0.001208,               0.001208
                     43,                0.96059,                 0.5743,                0.91319,                0.89306,                0.76658,                0.87283,                0.59518,                0.93937,                  0.509,                0.91696,              0.0011882,              0.0011882,              0.0011882
                     44,                0.96043,                0.57617,                0.91694,                0.89125,                0.79388,                0.88834,                0.61876,                0.88749,                0.49761,                0.90217,              0.0011684,              0.0011684,              0.0011684
                     45,                0.94852,                0.58323,                0.92106,                0.90102,                 0.7763,                0.88783,                0.62797,                0.88551,                0.49402,                0.90349,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.9475,                0.56962,                0.91261,                 0.8828,                0.77982,                0.87253,                0.61775,                0.88639,                0.50354,                0.91341,              0.0011288,              0.0011288,              0.0011288
                     47,                0.94565,                0.56945,                0.91305,                0.90015,                0.78066,                0.88545,                0.61033,                0.90518,                0.49491,                  0.903,               0.001109,               0.001109,               0.001109
                     48,                 0.9384,                0.55619,                0.90526,                0.88633,                0.79206,                0.88328,                0.62938,                0.86663,                0.48781,                0.90274,              0.0010892,              0.0010892,              0.0010892
                     49,                0.93181,                0.55795,                0.90824,                0.89381,                0.80849,                0.89553,                 0.6306,                 0.8855,                0.47806,                0.90431,              0.0010694,              0.0010694,              0.0010694
                     50,                0.92645,                0.56105,                0.91045,                0.90217,                0.79711,                0.89575,                0.63298,                0.88226,                0.47618,                0.90317,              0.0010496,              0.0010496,              0.0010496
                     51,                0.93029,                 0.5494,                0.90845,                0.89781,                0.77991,                0.88596,                0.61235,                0.90267,                0.48855,                0.90765,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.9314,                0.55151,                0.90465,                0.89436,                0.80128,                0.88937,                0.62073,                0.88214,                0.47766,                0.90225,                0.00101,                0.00101,                0.00101
                     53,                0.93109,                0.54476,                0.90769,                0.89956,                0.79711,                0.89556,                0.63567,                0.87027,                0.47909,                0.90266,              0.0009902,              0.0009902,              0.0009902
                     54,                0.91174,                0.53866,                0.90284,                 0.9029,                0.80259,                0.90078,                0.63947,                0.86285,                0.47359,                0.89755,              0.0009704,              0.0009704,              0.0009704
                     55,                  0.915,                0.53249,                0.90068,                0.89297,                0.79887,                0.89874,                0.63613,                0.87559,                 0.4778,                0.89817,              0.0009506,              0.0009506,              0.0009506
                     56,                0.91705,                0.53468,                0.90211,                0.89874,                0.79565,                 0.8962,                0.64331,                0.85616,                0.46703,                0.89613,              0.0009308,              0.0009308,              0.0009308
                     57,                0.91995,                0.53633,                0.90526,                 0.9057,                0.81044,                0.90033,                0.63311,                0.88337,                0.46844,                0.90152,               0.000911,               0.000911,               0.000911
                     58,                0.91042,                0.52781,                 0.8981,                0.89965,                0.80619,                0.90154,                0.64285,                0.85639,                0.46656,                0.89542,              0.0008912,              0.0008912,              0.0008912
                     59,                0.91869,                0.53387,                  0.901,                0.88813,                0.81745,                0.89926,                0.63109,                0.88287,                0.47334,                0.90461,              0.0008714,              0.0008714,              0.0008714
                     60,                0.91222,                0.52972,                0.89929,                0.90557,                0.81044,                0.90251,                0.64541,                0.86117,                 0.4634,                0.89528,              0.0008516,              0.0008516,              0.0008516
                     61,                0.91196,                0.53028,                0.90132,                0.88895,                0.80933,                0.89622,                0.62757,                0.88262,                0.46664,                 0.9006,              0.0008318,              0.0008318,              0.0008318
                     62,                0.89954,                 0.5208,                0.89774,                0.88864,                0.82389,                0.90373,                0.63694,                0.88183,                0.46372,                0.89818,               0.000812,               0.000812,               0.000812
                     63,                0.89891,                 0.5224,                0.89881,                 0.8902,                0.81793,                0.90273,                0.63241,                0.88641,                0.46572,                0.90018,              0.0007922,              0.0007922,              0.0007922
                     64,                0.91007,                0.53042,                0.90052,                0.91015,                0.81155,                0.90515,                0.63952,                0.87833,                0.46164,                0.89618,              0.0007724,              0.0007724,              0.0007724
                     65,                0.90092,                0.51709,                0.89655,                0.90837,                0.80891,                0.90631,                0.64625,                0.85792,                0.45943,                0.89756,              0.0007526,              0.0007526,              0.0007526
                     66,                0.90554,                0.52148,                0.89585,                0.91425,                 0.8049,                0.90321,                0.63957,                0.87362,                0.45861,                0.89741,              0.0007328,              0.0007328,              0.0007328
                     67,                0.90068,                 0.5127,                 0.8897,                0.90243,                0.81737,                0.90441,                0.64156,                0.89055,                0.45918,                0.90049,               0.000713,               0.000713,               0.000713
                     68,                0.88346,                0.50999,                0.89266,                0.90599,                 0.8131,                0.90638,                0.63986,                0.89113,                0.46407,                0.89923,              0.0006932,              0.0006932,              0.0006932
                     69,                0.89195,                 0.5172,                0.89436,                0.91445,                0.81583,                0.91053,                0.64882,                0.86829,                0.45296,                0.89613,              0.0006734,              0.0006734,              0.0006734
                     70,                0.88249,                0.50251,                0.89096,                0.89935,                0.81959,                0.90763,                0.65329,                0.84988,                0.45324,                0.89174,              0.0006536,              0.0006536,              0.0006536
                     71,                0.88171,                0.50411,                0.89121,                0.89949,                0.81967,                0.91034,                 0.6499,                0.85644,                0.44971,                0.89369,              0.0006338,              0.0006338,              0.0006338
                     72,                0.87267,                 0.5041,                0.89126,                0.89886,                0.81402,                0.90438,                0.64331,                0.86469,                0.45062,                0.89248,               0.000614,               0.000614,               0.000614
                     73,                0.87244,                0.50219,                0.89032,                 0.9034,                0.82709,                0.91081,                0.65252,                0.85605,                0.44858,                0.89324,              0.0005942,              0.0005942,              0.0005942
                     74,                0.87024,                0.50002,                0.89053,                0.89675,                0.82431,                0.90802,                0.64867,                0.86469,                0.44734,                0.89458,              0.0005744,              0.0005744,              0.0005744
                     75,                0.87967,                0.49368,                0.89487,                0.90201,                0.82293,                0.90787,                0.64997,                0.85922,                0.44347,                0.89416,              0.0005546,              0.0005546,              0.0005546
                     76,                0.86979,                0.49431,                0.88376,                0.91247,                0.82459,                0.91305,                0.65813,                0.84411,                0.43758,                 0.8878,              0.0005348,              0.0005348,              0.0005348
                     77,                0.86555,                0.49023,                0.88667,                0.89207,                0.82598,                0.90824,                0.64971,                0.85266,                0.44394,                0.88887,               0.000515,               0.000515,               0.000515
                     78,                0.86356,                0.48623,                0.88867,                0.90269,                0.82131,                0.90979,                0.65418,                0.84715,                0.43933,                0.88864,              0.0004952,              0.0004952,              0.0004952
                     79,                0.87476,                0.49516,                0.89095,                0.89847,                0.82959,                0.91282,                 0.6595,                0.84867,                0.43851,                0.89097,              0.0004754,              0.0004754,              0.0004754
                     80,                0.85634,                0.48475,                0.88807,                0.89808,                0.82417,                0.90964,                0.65405,                 0.8475,                0.43702,                0.88861,              0.0004556,              0.0004556,              0.0004556
                     81,                0.86802,                0.48428,                0.88783,                0.90678,                0.81932,                0.90909,                0.66121,                0.83936,                0.43285,                 0.8849,              0.0004358,              0.0004358,              0.0004358
                     82,                0.86839,                 0.4839,                 0.8879,                0.90273,                0.82015,                0.90783,                 0.6491,                0.85847,                0.43962,                0.89138,               0.000416,               0.000416,               0.000416
                     83,                0.86681,                0.48732,                 0.8894,                 0.9026,                0.82959,                0.91413,                0.65949,                0.85136,                0.43405,                 0.8897,              0.0003962,              0.0003962,              0.0003962
                     84,                0.86313,                0.48398,                0.88289,                0.90156,                0.82614,                  0.912,                 0.6512,                0.86284,                  0.437,                0.89198,              0.0003764,              0.0003764,              0.0003764
                     85,                0.85201,                0.47698,                0.88433,                0.90582,                0.81765,                0.91159,                0.65364,                0.85385,                0.43562,                0.89342,              0.0003566,              0.0003566,              0.0003566
                     86,                0.85435,                0.47785,                0.88623,                0.90139,                0.82182,                0.91033,                0.65108,                0.85357,                0.43635,                0.89105,              0.0003368,              0.0003368,              0.0003368
                     87,                0.85401,                0.47606,                0.88191,                0.91283,                0.82459,                0.91255,                  0.656,                0.85145,                 0.4328,                0.89119,               0.000317,               0.000317,               0.000317
                     88,                0.84615,                0.47313,                0.88352,                0.91235,                0.82459,                0.91452,                0.65741,                0.84774,                0.43079,                0.88859,              0.0002972,              0.0002972,              0.0002972
                     89,                0.85481,                0.47479,                0.88352,                0.90909,                 0.8171,                0.91166,                0.65306,                0.84857,                0.43185,                0.88893,              0.0002774,              0.0002774,              0.0002774
                     90,                0.85149,                0.47094,                0.88315,                 0.9174,                0.81321,                0.91256,                 0.6557,                0.85088,                0.43033,                0.88961,              0.0002576,              0.0002576,              0.0002576
                     91,                0.82434,                0.45679,                 0.8858,                0.90817,                 0.8262,                 0.9159,                0.65478,                0.86261,                0.42994,                0.89273,              0.0002378,              0.0002378,              0.0002378
